Total Heat Release,Burning Temperature,Ignition Temperature,Heat Release Capacity,Fire Growth Capacity,FR_labels
24746.271386493354,482.777,350.805,25810.5089295784,133.4540473042953,2
14462.91278806885,552.518,437.651,15057.83029260897,98.49316817292423,2
15136.432860361245,519.542,366.975,15752.498344482352,68.60473792898506,1
20239.97536940074,483.248,397.54,21187.762700909057,191.98219409905067,0
26617.92067120014,473.19,388.929,27854.922648374173,256.5086524733005,0
12753.281429886832,492.045,292.177,13351.002029920743,36.5021981920509,1
27388.274647024526,468.963,377.38,28729.93429306184,237.3636887011881,0
13178.531142801272,474.079,385.455,13772.324221746929,119.35592054451475,1
15618.261033624798,442.321,334.539,16304.837473744496,107.4809694055398,1
13514.06880116479,463.351,343.272,14158.61979033951,81.71381644248105,1
14153.010009336787,468.244,342.548,14740.328107313984,80.66662235659703,1
13811.41660209067,470.334,346.691,14407.01524654029,80.6903777397166,1
18662.99298187109,506.308,345.554,19517.887456194458,77.32102895958279,2
10611.566512875976,513.281,377.459,11136.459218265334,56.39598140789966,1
22843.530046643464,473.192,361.704,23881.32343993857,153.9285816875176,0
13516.915097100535,529.236,448.638,14167.900722707145,140.90109910719002,1
23927.518170046,487.407,383.372,25001.54431382355,178.24930849205296,0
19316.17362228757,489.147,386.766,20198.15993965239,147.0530150760021,0
17057.25128530005,500.103,393.045,17809.393372073788,123.42498154440273,1
16872.035779426667,478.924,346.667,17725.977929366127,90.40078122171148,1
8853.343976564003,457.562,392.153,9081.73422731589,114.88637996122884,1
11149.677012144324,449.17,387.007,11618.754458026795,153.07608293666314,1
22118.425454393226,546.586,423.09,23499.27272577048,136.69626829354792,0
15556.583384517782,510.407,414.242,16573.508641752156,129.72116659265131,0
14034.007566717606,498.028,413.977,14942.190600103097,137.30169392091352,0
14553.582497921656,509.006,413.363,15491.071232599203,122.09667125347201,0
14543.857833991413,495.038,404.653,15360.708814080892,129.9682061147073,0
13717.305964884996,507.786,414.755,14556.913104456711,119.03595592633502,0
17046.2075307302,556.337,470.821,18117.195090434725,167.25182110145192,0
12492.325123006143,501.629,444.366,13312.83655562923,191.94726832652447,1
13805.488518606136,524.299,413.008,14699.351506035433,96.3988200700417,0
13535.537425042312,523.608,410.809,14394.693265617456,92.85031183421803,1
14037.90683445576,528.434,413.512,14891.07865600632,94.26730146934534,0
16562.556238245983,529.889,412.938,17507.019660827045,108.81526898257887,1
14240.434500275347,513.72,406.528,15147.336769147361,103.71156082209215,1
5075.246005407114,442.198,354.824,5293.261024862217,45.92137848084706,1
22076.194805541818,546.599,423.916,23324.08198699675,137.62094507093173,0
17119.96799286334,487.803,460.072,17934.525908326985,580.3665671123016,1
16289.023028713611,485.731,456.485,16989.963955192477,521.6111061242859,0
17990.13455229457,687.543,546.575,18765.897678353984,100.46541214823647,1
18946.41557639164,566.912,552.126,19743.227707042828,1246.4131635994847,0
