Total Heat Release,Burning Temperature,Ignition Temperature,Heat Release Capacity,Fire Growth Capacity,FR_labels
34511.23806755896,568.956,366.975,36145.32712883271,107.41887711893044,1
85034.81123514772,754.036,397.54,89645.5471563484,121.88942448697021,0
138659.6257883868,753.505,388.929,146027.52692101971,189.99670764806098,0
78045.08070661771,753.916,292.177,82238.55699984476,61.9541726663478,1
148589.11151454586,753.761,377.38,156932.04419065657,190.89098643161833,0
60922.06791860531,753.68,385.455,64073.89323837891,81.84187492497342,1
128872.44347621866,753.959,334.539,135465.9093752421,130.4737665907953,1
68773.02776701977,753.742,343.272,72567.2128586215,73.17476838551046,1
70164.58512484956,753.591,342.548,73545.72447491929,74.39714752524618,1
73260.56232372916,753.656,346.691,76919.98751634306,79.4748199655247,1
51217.38504133618,753.9,377.459,54112.61778243681,65.79018950662093,1
95125.0052009115,753.549,361.704,100092.84879941172,112.19406753201659,0
46037.88817360996,753.779,448.638,48574.0940323191,87.7028866134228,1
114526.73392880446,754.05,383.372,120446.84834891191,151.87518525645007,0
99320.45871757495,753.733,386.766,104527.37006149185,134.3603160004189,0
55346.70491577819,753.979,393.045,58162.29815807667,77.4194140559493,1
51209.937705159624,754.065,346.667,54192.926190446145,55.45945709794165,1
61863.10008473345,753.967,392.153,63726.23847361685,86.11633229692983,1
67125.45437765853,753.593,387.007,70405.25217052591,90.97945634628317,1
171255.90737029392,753.768,423.09,183200.0182795007,282.8995342841413,0
79682.37101987535,753.686,414.242,85491.18882733073,125.39302562347982,0
73703.08163951448,753.573,413.977,79030.87118088323,115.8707799431728,0
76832.49284447871,753.826,413.363,82366.3928080448,120.25108195472224,0
75685.98862414453,753.577,404.653,80519.02746315619,113.03059779151445,0
66913.87914699789,753.714,414.755,71491.24288668911,105.58533931412525,0
135678.41572067305,753.867,470.821,145245.7278035335,293.20135700864546,0
56188.176647353466,754.092,444.366,60320.103754539414,104.3465656148778,1
61919.89477920437,753.969,413.008,66401.22442426642,96.66229977851297,0
59101.833761815666,753.83,410.809,63297.58422068029,91.20661988858815,1
62477.44862372773,753.579,413.512,66716.9711856808,97.96852828779127,0
86873.6634996106,753.601,412.938,92417.29306373424,135.77997648855697,1
64730.63952512164,753.562,406.528,69345.34352573681,97.67822789084765,1
26057.349842003106,753.552,354.824,27352.53559042376,29.585247655919915,1
173678.74118173457,753.887,423.916,184667.47928789206,288.06609204424694,0
173206.35921221325,753.939,460.072,182760.44210021765,351.78957157216,1
172804.8749195656,753.684,456.485,181438.79310145366,344.29848776419936,0
103320.8821016249,753.87,546.575,108483.90980626868,356.6694974773687,1
239307.0412159192,753.68,552.126,250983.21696152037,858.8981038420472,0
